r_disturb p_disturb y_disturb r_out p_out y_out y_ref p_ref r_ref time
-0.51 0.15 0.15 -0.05 -0.06 -0.09 -0.30 0.30 0.00 96.734
-0.50 0.17 0.11 0.00 -0.05 -0.10 -0.30 0.30 0.00 96.765
-0.50 0.19 0.08 0.02 -0.05 -0.10 -0.30 0.30 0.00 96.798
-0.48 0.21 0.03 0.01 -0.04 -0.11 -0.30 0.30 0.00 96.833
-0.48 0.23 -0.00 0.01 -0.03 -0.12 -0.30 0.30 0.00 96.869
-0.47 0.24 -0.03 0.03 -0.04 -0.13 -0.30 0.30 0.00 96.899
-0.46 0.26 -0.07 0.03 -0.04 -0.13 -0.30 0.30 0.00 96.933
-0.45 0.27 -0.10 0.01 -0.04 -0.14 -0.30 0.30 0.00 96.964
-0.44 0.27 -0.12 -0.01 -0.03 -0.14 -0.30 0.30 0.00 96.999
-0.42 0.27 -0.14 0.00 -0.02 -0.13 -0.30 0.30 0.00 97.036
-0.41 0.26 -0.17 -0.01 -0.01 -0.12 -0.30 0.30 0.00 97.067
-0.40 0.25 -0.19 0.05 -0.01 -0.12 -0.30 0.30 0.00 97.101
-0.38 0.22 -0.22 0.01 0.02 -0.11 -0.30 0.30 0.00 97.134
-0.37 0.19 -0.24 -0.00 0.04 -0.10 -0.30 0.30 0.00 97.164
-0.36 0.15 -0.26 0.02 0.09 -0.10 -0.30 0.30 0.00 97.200
-0.34 0.12 -0.28 0.04 0.12 -0.08 -0.30 0.30 0.00 97.231
-0.33 0.08 -0.29 -0.01 0.12 -0.07 -0.30 0.30 0.00 97.264
-0.32 0.01 -0.28 -0.03 0.12 -0.07 -0.30 0.30 0.00 97.297
-0.31 -0.03 -0.28 -0.01 0.14 -0.05 -0.30 0.30 0.00 97.334
-0.44 -0.31 0.04 -0.04 0.12 0.15 -0.30 0.30 0.00 97.666
-0.46 -0.29 0.07 -0.05 0.11 0.14 -0.30 0.30 0.00 97.700
-0.48 -0.28 0.10 0.06 0.07 0.12 -0.30 0.30 0.00 97.732
