r_disturb p_disturb y_disturb r_out p_out y_out y_ref p_ref r_ref time
0.15 -0.07 -0.02 -0.05 0.06 -0.03 -0.30 -0.30 0.00 131.482
0.15 -0.07 -0.02 -0.04 0.06 -0.03 -0.30 -0.30 0.00 131.517
0.15 -0.07 -0.02 0.00 0.06 -0.03 -0.30 -0.30 0.00 131.548
0.15 -0.07 -0.02 0.04 0.05 -0.03 -0.30 -0.30 0.00 131.585
0.15 -0.07 -0.02 0.04 0.05 -0.03 -0.30 -0.30 0.00 131.614
0.15 -0.07 -0.02 0.04 0.05 -0.03 -0.30 -0.30 0.00 131.651
0.15 -0.07 -0.02 0.05 0.05 -0.04 -0.30 -0.30 0.00 131.679
0.15 -0.07 -0.02 0.06 0.05 -0.04 -0.30 -0.30 0.00 131.714
0.15 -0.07 -0.02 0.06 0.05 -0.04 -0.30 -0.30 0.00 131.746
0.15 -0.07 -0.02 0.07 0.06 -0.03 -0.30 -0.30 0.00 131.780
0.15 -0.07 -0.02 0.07 0.06 -0.03 -0.30 -0.30 0.00 131.814
0.15 -0.07 -0.02 0.04 0.06 -0.03 -0.30 -0.30 0.00 131.844
0.15 -0.07 -0.02 -0.00 0.06 -0.03 -0.30 -0.30 0.00 131.878
0.15 -0.07 -0.02 -0.04 0.06 -0.03 -0.30 -0.30 0.00 131.912
0.15 -0.07 -0.02 -0.04 0.06 -0.03 -0.30 -0.30 0.00 131.945
0.15 -0.07 -0.02 -0.05 0.06 -0.03 -0.30 -0.30 0.00 131.981
0.15 -0.07 -0.02 -0.07 0.06 -0.03 -0.30 -0.30 0.00 132.012
0.15 -0.07 -0.02 -0.05 0.06 -0.03 -0.30 -0.30 0.00 132.050
0.15 -0.07 -0.02 -0.01 0.06 -0.03 -0.30 -0.30 0.00 132.079
0.15 -0.07 -0.02 0.01 0.05 -0.04 -0.30 -0.30 0.00 132.124
0.15 -0.07 -0.02 0.03 0.05 -0.03 -0.30 -0.30 0.00 132.148
0.15 -0.07 -0.02 0.02 0.05 0.26 0.00 -0.30 0.00 132.179
0.15 -0.07 -0.02 0.04 0.05 0.26 0.00 -0.30 0.00 132.212
0.15 -0.07 -0.02 0.04 0.05 0.26 0.00 -0.30 0.00 132.247
0.15 -0.07 -0.02 0.04 0.07 -0.01 0.00 -0.30 0.00 132.382
0.15 -0.07 -0.02 0.02 0.07 0.01 0.00 -0.30 0.00 132.413
0.15 -0.07 -0.02 0.04 0.07 0.02 0.00 -0.30 0.00 132.444
0.15 -0.07 -0.02 0.02 0.07 0.02 0.00 -0.30 0.00 132.481
0.15 -0.07 -0.02 0.03 0.06 0.02 0.00 -0.30 0.00 132.511
0.15 -0.07 -0.02 0.00 0.06 0.02 0.00 -0.30 0.00 132.543
0.15 -0.07 -0.02 0.02 0.05 0.02 0.00 -0.30 0.00 132.578
0.15 -0.07 -0.02 0.02 0.05 0.02 0.00 -0.30 0.00 132.610
0.15 -0.07 -0.02 0.01 0.05 0.02 0.00 -0.30 0.00 132.646
0.15 -0.07 -0.02 0.01 0.05 0.02 0.00 -0.30 0.00 132.677
0.15 -0.07 -0.02 0.01 0.05 0.02 0.00 -0.30 0.00 132.713
0.15 -0.07 -0.02 0.00 0.05 0.02 0.00 -0.30 0.00 132.748
0.15 -0.07 -0.02 -0.00 0.05 0.02 0.00 -0.30 0.00 132.782
0.15 -0.07 -0.02 0.00 0.05 0.02 0.00 -0.30 0.00 132.814
0.15 -0.07 -0.02 -0.01 0.06 0.02 0.00 -0.30 0.00 132.844
0.15 -0.07 -0.02 -0.02 0.06 0.02 0.00 -0.30 0.00 132.877
0.15 -0.07 -0.02 -0.02 0.06 0.02 0.00 -0.30 0.00 132.911
0.15 -0.07 -0.02 -0.02 0.05 0.02 0.00 -0.30 0.00 132.944
0.15 -0.07 -0.02 -0.04 0.06 0.02 0.00 -0.30 0.00 132.979
0.15 -0.07 -0.02 -0.02 0.06 0.02 0.00 -0.30 0.00 133.009
0.15 -0.07 -0.02 -0.03 0.06 0.02 0.00 -0.30 0.00 133.044
0.15 -0.07 -0.02 -0.03 0.06 0.02 0.00 -0.30 0.00 133.078
0.15 -0.07 -0.02 -0.02 0.06 0.02 0.00 -0.30 0.00 133.112
0.15 -0.07 -0.02 -0.02 0.05 0.02 0.00 -0.30 0.00 133.149
0.15 -0.07 -0.02 -0.02 0.06 0.02 0.00 -0.30 0.00 133.180
0.15 -0.07 -0.02 -0.02 0.05 0.02 0.00 -0.30 0.00 133.212
0.15 -0.07 -0.02 -0.03 0.06 0.02 0.00 -0.30 0.00 133.243
0.15 -0.07 -0.02 -0.02 0.05 0.02 0.00 -0.30 0.00 133.276
0.15 -0.07 -0.02 -0.01 0.05 0.02 0.00 -0.30 0.00 133.314
0.15 -0.07 -0.02 -0.02 0.06 0.02 0.00 -0.30 0.00 133.343
0.15 -0.07 -0.02 -0.01 0.05 0.02 0.00 -0.30 0.00 133.377
0.15 -0.07 -0.02 -0.02 0.06 0.02 0.00 -0.30 0.00 133.410
0.15 -0.07 -0.02 -0.01 0.06 0.02 0.00 -0.30 0.00 133.444
0.15 -0.07 -0.02 -0.02 0.06 0.02 0.00 -0.30 0.00 133.478
0.15 -0.07 -0.02 -0.03 0.06 0.02 0.00 -0.30 0.00 133.511
0.15 -0.07 -0.02 -0.03 0.06 0.02 0.00 -0.30 0.00 133.543
0.15 -0.07 -0.02 -0.03 0.06 0.02 0.00 -0.30 0.00 133.577
0.15 -0.07 -0.02 -0.03 0.06 0.02 0.00 -0.30 0.00 133.611
0.15 -0.07 -0.02 -0.03 0.05 0.02 0.00 -0.30 0.00 133.644
